epoca,perda_treino,perda_validacao,acuracia_validacao,f1_macro_validacao
1,0.962796167214,0.749129951000,0.714655172414,0.717008468375
2,0.549722212074,0.574390888214,0.794827586207,0.795875576143
3,0.351060609617,0.434999883175,0.858620689655,0.858750798309
4,0.228383321484,0.342869251966,0.881034482759,0.880866808875
5,0.154087857978,0.290560275316,0.910344827586,0.910256967363
6,0.106426792913,0.279287457466,0.898275862069,0.898220226041
7,0.076404766390,0.270644813776,0.905172413793,0.904998280280
8,0.054517565940,0.265109598637,0.899137931034,0.898826783145
9,0.040923986236,0.255765438080,0.906034482759,0.905613419597
10,0.029871004798,0.263809323311,0.910344827586,0.909897018785
11,0.023063966436,0.258123248816,0.910344827586,0.909814959734
12,0.018035776959,0.257754743099,0.909482758621,0.909140854324
13,0.014042437207,0.256225913763,0.909482758621,0.909061166860
14,0.011359811755,0.265866607428,0.907758620690,0.907276043236
15,0.009448617171,0.270360857248,0.913793103448,0.913293854354
16,0.007946700569,0.274026900530,0.915517241379,0.915000769073
