epoca,perda_treino,perda_validacao,acuracia_validacao,f1_macro_validacao
1,0.819201283646,0.754257202148,0.734482758621,0.731331408532
2,0.335785041456,0.564120471478,0.789655172414,0.789919679806
3,0.188638807692,0.481853932142,0.844827586207,0.845131992743
4,0.114800658072,0.459202110767,0.872413793103,0.872410284934
5,0.071311951869,0.461179703474,0.881034482759,0.880146449519
6,0.048176868575,0.463907927275,0.883620689655,0.882695990145
7,0.035076620761,0.478189140558,0.881896551724,0.880839967275
8,0.026165064783,0.491182327271,0.886206896552,0.884742328427
9,0.019873278825,0.505507290363,0.886206896552,0.884662532480
10,0.015286040458,0.532213747501,0.883620689655,0.881974450858
11,0.012092810807,0.555100023746,0.881896551724,0.880211480992
